"Statistic Label","Month","Sex","Age at Death","UNIT","VALUE"
"Revised Deaths Occurring","2019 January","Male","All ages","Number","1601"
"Revised Deaths Occurring","2019 February","Male","All ages","Number","1389"
"Revised Deaths Occurring","2019 March","Male","All ages","Number","1418"
"Revised Deaths Occurring","2019 April","Male","All ages","Number","1327"
"Revised Deaths Occurring","2019 May","Male","All ages","Number","1413"
"Revised Deaths Occurring","2019 June","Male","All ages","Number","1296"
"Revised Deaths Occurring","2019 July","Male","All ages","Number","1305"
"Revised Deaths Occurring","2019 August","Male","All ages","Number","1306"
"Revised Deaths Occurring","2019 September","Male","All ages","Number","1285"
"Revised Deaths Occurring","2019 October","Male","All ages","Number","1396"
"Revised Deaths Occurring","2019 November","Male","All ages","Number","1478"
"Revised Deaths Occurring","2019 December","Male","All ages","Number","1643"
"Revised Deaths Occurring","2020 January","Male","All ages","Number","1550"
"Revised Deaths Occurring","2020 February","Male","All ages","Number","1440"
"Revised Deaths Occurring","2020 March","Male","All ages","Number","1619"
"Revised Deaths Occurring","2020 April","Male","All ages","Number","1910"
"Revised Deaths Occurring","2020 May","Male","All ages","Number","1422"
"Revised Deaths Occurring","2020 June","Male","All ages","Number","1174"
"Revised Deaths Occurring","2020 July","Male","All ages","Number","1207"
"Revised Deaths Occurring","2020 August","Male","All ages","Number","1265"
"Revised Deaths Occurring","2020 September","Male","All ages","Number","1273"
"Revised Deaths Occurring","2020 October","Male","All ages","Number","1503"
"Revised Deaths Occurring","2020 November","Male","All ages","Number","1400"
"Revised Deaths Occurring","2020 December","Male","All ages","Number","1501"
"Revised Deaths Occurring","2021 January","Male","All ages","Number","2133"
"Revised Deaths Occurring","2021 February","Male","All ages","Number","1727"
"Revised Deaths Occurring","2021 March","Male","All ages","Number","1427"
"Revised Deaths Occurring","2021 April","Male","All ages","Number","1356"
"Revised Deaths Occurring","2021 May","Male","All ages","Number","1417"
"Revised Deaths Occurring","2021 June","Male","All ages","Number","1266"
"Revised Deaths Occurring","2021 July","Male","All ages","Number","1354"
"Revised Deaths Occurring","2021 August","Male","All ages","Number","1374"
"Revised Deaths Occurring","2021 September","Male","All ages","Number","1392"
"Revised Deaths Occurring","2021 October","Male","All ages","Number","1603"
"Revised Deaths Occurring","2021 November","Male","All ages","Number","1565"
"Revised Deaths Occurring","2021 December","Male","All ages","Number","1682"
